ID	bowtie_weighted	bowtie	ratio
SOH1	Target	Target	Target
s141	0	0	0
s8589	0	0	0
s143	0	0	0
s144	0	0	0
s8426	0	0	0
s8427	0	0	0
s8428	0	0	0
s8429	0	0	0
s6599	0	0	0
ADH3	Target	Target	Target
s8399	0	0	0
s8396	0	0	0
s8394	0	0	0
s8395	0	0	0
s8392	0	0	0
s8393	0	0	0
s8390	0	0	0
s8391	0	0	0
s8159	0	0	0
CAB2	Target	Target	Target
s8463	0	0	0
s580	0	0	0
s581	0	0	0
s582	0	0	0
s583	0	0	0
s584	0	0	0
s585	0	0	0
s588	0	0	0
s589	0	0	0
s6943	0	0	0
MRT4	Target	Target	Target
GRX6	Target	Target	Target
SLT2	Target	Target	Target
s6543	0	0	0
s6542	0	0	0
s6545	0	0	0
s6544	0.0	0.0	0
s6546	0	0	0
s8514	0	0	0
s8515	0	0	0
s8516	0.0	0.0	0
s8459	0	0	0
s8458	0	0	0
s8512	0	0	0
s8513	0	0	0
s6939	0	0	0
s8320	0	0	0
YPP1	Target	Target	Target
FES1	Target	Target	Target
s6839	0	0	0
s6395	0	0	0
s6396	0.0	0.0	0
s6933	0	0	0
s6934	0	0	0
s6935	0	0	0
RPI1	Target	Target	Target
PIM1	Target	Target	Target
RLP7	Target	Target	Target
PET123	Target	Target	Target
s8631	0	0	0
s8739	0	0	0
s8633	0	0	0
s8632	0	0	0
s8634	0	0	0
s8730	-0.00722774736842	0.0491228070175	-0.147136285714
s8731	0.0	0.0	0
s8732	-0.00722774736842	0.0491228070175	-0.147136285714
s8733	0.0	0.0	0
KCC4	Target	Target	Target
KAR2	Target	Target	Target
s7940	0.0	0.0	0
s6601	0	0	0
MVD1	Target	Target	Target
PRP22	Target	Target	Target
LPX1	Target	Target	Target
