gene	logFC
CSE2	0.247482
ESF1	-1.69156
CDA2	0.124568
PSD1	0.42259
PHO4	-0.891746
TRM5	-1.76554
TFB3	0.987128
DBP2	-3.240604
ARN2	-0.572864
PDE2	-0.028424
ALA1	-1.413674
HFM1	-0.172332
BBP1	-0.090728
RKI1	-2.656346
UTR4	-0.481916
HKR1	-0.734938
LAG2	1.044482
RKM1	0.10547
PEX11	-0.427326
ERG24	-0.750592
TRP1	-0.503386
POT1	0.659356
PBP2	0.730652
TFB2	-0.06926
TGL3	0.783268
TOS3	1.197062
COG2	0.217806
YPT7	0.022802
TPO1	0.8117
BIM1	-0.193806
THI74	0.113018
HUG1	0.22586
SED5	0.020948
ARP3	0.38414
HXT1	2.702766
SNO1	0.41074
SLM3	-0.346902
GFD1	0.068764
CRG1	0.93854
BRR6	0.29211
EMI2	3.904678
OLI1	-0.25523
NSL1	-0.796614
OSW1	-0.001936
MAS2	-0.451782
NOP19	-1.537802
MSF1	1.183468
HEM13	-1.695382
NPP2	-0.041262
YGK3	-0.47191
CBP3	0.159286
RIM11	1.626964
THI3	0.048396
YRM1	0.220702
RRP15	-1.967844
KRE1	-0.149102
RPS6A	-1.91571
SHP1	0.948612
COS4	0.700094
WHI3	-0.351784
MRPL4	-0.682864
PET18	1.291804
LRE1	0.511742
HMRA1	-0.079434
PRP42	0.592756
KRE29	-0.214422
YLH47	-0.324518
FSH1	0.737384
DSF2	0.15459
HAT1	0.819628
LOH1	0.330346
PRP4	0.406572
TLC1	-0.763952
ASI2	1.198378
SYN8	-0.26087
HTL1	0.27228
ALG7	-0.394366
VTA1	-0.425218
PTC3	0.050808
IMP4	-2.276134
VTC4	-1.87833
DLS1	-0.286554
VPS51	0.255922
STB2	2.602366
MVP1	0.76513
GET2	-0.60232
SMF2	0.233292
TRE1	0.16615
SPC97	-0.215184
RED1	0.042198
LRG1	-0.47791
IOC3	0.047988
ARD1	-0.71814
RPS15	-2.046542
RIM8	1.071268
GRX1	1.094378
YKE4	-0.251088
ARR2	0.956842
HOP1	0.814846
TMA10	5.852814
ROT2	0.318058
PDP3	-0.076882
VHS3	2.251536
CDC14	-0.147934
SPP381	-0.122426
SRP101	-0.80646
NFT1	0.575292
RPL36A	-2.037334
CAN1	-0.083426
MLH1	0.243232
APC5	0.570918
RPL23B	-1.87228
RAX1	-0.802748
MF(ALPHA)1	0.774092
SRY1	0.623066
MIX23	-0.490156
AYT1	0.433492
CAF20	-1.180184
NIP1	-1.621628
VPS21	0.469526
CTL1	0.543936
RAD54	0.399178
YRF1-7	-0.421512
HAP3	0.152802
PHO12	-3.519462
RPL8B	-1.984614
NPT1	-0.347862
NSE1	0.040094
ORC5	0.012878
BXI1	2.50916
AIM22	0.00745
ULS1	0.001506
GLO2	0.982364
MAL11	1.292542
CDC45	-0.441366
RRS1	-3.394644
NPR2	0.671038
NTO1	-0.442756
COX12	0.266268
RPS7B	-1.968668
ENA5	2.966806
SCO2	1.01719
RAD3	-0.333926
SIT4	-0.526922
PRP39	0.123168
MON1	0.823566
DSK2	-0.787578
HHY1	0.333202
SWP1	-0.270796
PUS5	0.832174
CPR4	0.635956
TCD2	-0.637418
RFA3	-0.74163
GIR2	-1.125436
PGM1	-0.375928
GIC2	0.478888
VAC14	-0.027278
ROM2	0.609282
UGX2	3.000494
SUL2	0.527958
ERG28	-0.256026
ABF2	0.254824
RAV1	0.744118
TRM2	-2.505178
SCL1	0.108544
IRC24	0.200452
PKR1	-1.280368
TRX2	0.128606
VPS34	0.634302
DRN1	-0.666036
GYP7	1.023378
MPC1	0.152908
EAF7	0.464154
CSE4	-0.404902
AIM24	0.15504
DBP6	-1.196788
BIK1	-0.414206
YPT1	-0.199882
MNS1	-0.022438
URK1	-1.872166
NOP15	-2.953184
PAU8	-0.144936
KEI1	-0.850966
ERG7	-0.94647
GRX5	0.154734
HXK2	-0.481828
GUT1	0.44292
ERP1	-1.06553
TEA1	-1.036314
ORC6	-0.251942
THG1	-0.242778
IFM1	0.244992
VIK1	-0.292856
RPT4	0.536274
OXA1	-1.25656
ANP1	-0.53427
RGD1	0.294336
SPC29	0.526182
ERV46	-0.608648
FUN12	-1.44548
VHC1	-0.368774
NTH1	2.969782
SUC2	-0.423954
PPM2	-1.819648
MSI1	-0.240108
TED1	-0.742916
SSU1	-0.930816
MSA1	-0.537818
ATO3	-2.085394
YAP1	0.858656
THO1	0.031168
PHO8	-1.28079
HEM14	0.321418
TIF5	-1.325356
RRG9	-0.172064
SFT1	-0.084778
UBP14	-0.133558
UBR2	0.36706
RGR1	-0.074534
HXT4	1.068926
GPI17	0.052138
UBC9	-1.261424
DBP10	-2.290384
PET111	0.314478
BAP3	-0.164696
NAT5	-0.821162
HIS3	-0.971636
GUS1	-0.585762
SNR51	-0.124876
PRP18	0.064924
YIP4	0.219328
GFA1	-0.363744
SCS22	0.613304
RRF1	0.519584
POB3	0.150062
IRS4	-0.0162
OPI3	1.197328
SCW4	-1.104442
SSK22	-1.275442
BPT1	0.286222
SNO3	0.442302
ARG82	1.213476
MUB1	0.440724
PRD1	0.381726
HSP26	4.449906
RCR1	-0.142698
RUF5-1	0.278096
RUF5-2	0.274812
PAR32	0.32961
ANB1	-1.797178
PLB2	-2.802322
TPD3	0.477304
GOT1	-1.098858
GYP1	0.426122
RRD2	1.399504
TOS4	-0.630732
APJ1	0.407556
CMD1	-0.231622
SMY2	-0.462388
SVF1	-2.004908
NOP9	-2.02606
ATP19	-0.985704
RTA1	-0.041752
ABD1	0.375234
RPS9B	-2.224682
PTM1	0.531374
MNR2	0.584854
NEJ1	0.299082
NTR2	-0.144324
NIP100	0.191074
DIA4	0.67857
DIT1	0.63933
TRM10	-1.715682
NGL1	0.289268
MAM33	-0.110954
SRO9	-1.760314
CWC25	-0.733064
MPP6	-1.138264
REC102	1.891086
NOP4	-2.829344
DID4	0.457208
SKP1	-0.382636
SUF23	0.67958
MSL1	-0.08876
SUP54	-0.995834
RPB5	-1.449656
SIR1	0.98671
SPR6	-0.55291
NDT80	0.583678
SPT15	-0.972626
CUS1	0.724644
CPA1	-1.429478
AIM19	0.979206
GYL1	0.212156
RRP5	-3.226544
ENT4	-0.665272
NOB1	-2.136922
INO4	0.59434
VPH1	-0.238464
SPE3	-0.653948
