gene	logFC	pvalue
PTC1	-0.521887313996619	0.665779610592229
MED2	0.210065287231545	0.859433489031577
ATP16	0.1742344965403	0.882681003423978
MCD1	-0.583739026741386	0.625901794078947
NHP10	-0.384973621056469	0.747958204676032
RMD1	-0.5928055650991	0.623825898694183
NTH1	2.66013480717337	0.0465977068890897
YRB1	-0.441209404925784	0.709162126814183
RCR2	1.96428250652132	0.126671710227968
RAD57	0.192415835578862	0.871703624142712
MAF1	0.676272084710733	0.573501749632922
SOK1	-0.267642842740858	0.820891608432233
TRP1	-0.359267345943246	0.765634149659919
GAL3	0.232055214320298	0.855189711076246
SNQ2	1.70154089912307	0.176463286373627
RPL4B	-3.07821422269293	0.0245940563728744
PSF1	-1.18633379641029	0.352657321358231
RAD61	-0.122205874818608	0.919866050365554
HED1	1.58314276947831	0.31434516944419
DAD1	0.120942564352818	0.921212669762987
KCS1	-0.811445425649232	0.500445716681875
GCV1	1.44121904460851	0.249033426118623
DAS2	-2.00506520944181	0.128612354764661
FAL1	-1.84540486183489	0.1568416553925
ATG31	1.95967320452142	0.133408061724662
SES1	-2.12667017034225	0.10025247260102
FYV1	-0.120056953492193	0.940881578684295
RPS11A	-3.05385055211272	0.0255404224025545
NSI1	-0.624965194795487	0.603568217115355
VPS54	0.863240772395939	0.474515674830269
REG1	0.448827238243114	0.704861529767583
RAD28	0.0401830347045841	0.974134852287021
MIX14	1.7029062579178	0.186130476879383
PST2	0.973786690929511	0.420384988398621
MRH1	-1.94147300542666	0.128819132930262
LYS14	0.236506464332334	0.842110162731747
ARO3	-1.50202451407233	0.228786564555787
EHD3	-0.585447714112646	0.625571072626001
KRS1	-2.29584991188074	0.0790279872755981
ENA5	-0.489554790062342	0.689474688357093
ENA2	4.6773540714224	0.00293286995639414
ENA1	2.83909217963047	0.036087871718691
RSM10	-0.269072666563932	0.822016330392244
SNR47	-0.402766545114968	0.763502839642809
NRG1	2.31781728655895	0.078522687490692
HEM13	-0.153749714388382	0.896261304367514
RPC11	-2.41997004404	0.0712630963044222
BAP3	-1.49769275919737	0.230028894729066
HEM12	0.0411658063141273	0.972167892253035
VMS1	-0.397511845717833	0.739906074512322
TPI1	-0.240768749462686	0.83777869984294
DET1	-0.733838968937523	0.54373079312497
DBF4	-0.250957215676926	0.832726819425485
CDC34	0.168016238471855	0.886809630466898
PST1	-0.939135360376519	0.437422587630147
YOS9	-0.368536204285237	0.758267370026632
TGL2	1.16012043999181	0.354784764695476
UBC5	0.502064940430034	0.683003364535056
MAK21	-3.8962906785575	0.00644688324064477
LCB2	-0.634789184102778	0.594217761185817
AIM7	-0.00815843722570775	0.994528048768976
RPS13	-2.20407865519454	0.089845634637888
RRG1	-0.76923650586474	0.538923844338305
RTR2	-0.557758760996456	0.662547922295674
