Gene	logFC
GIS2	-2.120294234
TAF6	-0.074000581
APQ12	-0.089267338
GAS2	-0.120294234
ATM1	-0.49410907
MOB1	-0.043943348
USA1	1.097610797
PRY3	0.367371066
SRD1	-1.358453971
MRN1	0.250961574
NUP116	-0.104697379
PFK26	1.22650853
TEN1	-0.043943348
UGP1	0.82374936
SWM2	0.014355293
ERP2	-0.217591435
SFC1	-0.621488377
HO	
YSR3	0.871843649
GVP36	1
RPL26A	-3.184424571
YME2	0.847996907
WTM1	0.831877241
PRY1	0.35614381
ENT1	-0.621488377
PKP1	
THP2	-0.152003093
PEX5	0.748461233
SLD3	-0.535331733
FOL1	-1.120294234
SPO23	0.201633861
DYN1	
SIP3	0.028569152
MAK32	0.150559677
CSM3	0.855989697
ADH2	-0.217591435
MKK1	-0.473931188
LOT6	1.275007047
UIP4	1.03562391
CBR1	-0.089267338
MNN10	-0.535331733
MTG2	-0.340075442
FUN14	
DUG3	-0.454031631
ERB1	-1.473931188
RPL37B	-3.184424571
FHN1	
SEC24	-0.168122759
AIM26	1.718087584
VPS27	1.007195501
MRPS5	0.028569152
JJJ3	-1.395928676
PHB1	0.23878686
DSL1	0.111031312
ATG3	1.280956314
MGE1	-0.556393349
SCC2	
AGE2	0.042644337
DBP8	-2.836501268
TRS23	0.613531653
SPO7	0.084064265
CHS1	1.269033146
KAP95	-0.785875195
SSB1	0.739848103
RHO4	0.23878686
SNF4	0.070389328
RGT1	-0.104697379
PRE3	0.790772038
SAS4	1.117695043
UBP15	0.443606651
CDC9	-0.268816758
DUT1	-0.888968688
ATX1	-0.152003093
MF(ALPHA)1	-0.286304185
OST1	0.111031312
PLM2	-0.029146346
SCW10	0.495695163
KIN4	-0.915935735
GAT3	-1.736965594
UIP3	0.298658316
TYW3	
VHS1	0.782408565
DIC1	1.815575429
SAM2	-0.321928095
TRM2	-1.888968688
PEX4	0.731183242
RPL33B	-2.736965594
PPR1	-0.971430848
CDC20	0.163498732
PTM1	0.790772038
LRO1	0.310340121
SRB6	0.713695815
YUH1	1.195347598
CUS1	
PIG2	1.214124805
POS5	0.097610797
GRE2	
TRS20	-0.200912694
CDC1	0.659924558
CDC36	0.286881148
MST27	0.97819563
LPP1	0.475084883
RPS21A	-3.473931188
CAF130	-0.514573173
COX16	1.650764559
NRM1	-0.01449957
FKS3	-0.13606155
FAP7	-0.785875195
EMP65	0.411426246
REC107	0.895302621
MET30	0.565597176
GUP2	
SYS1	0.310340121
FRE7	0.992768431
GDE1	-0.556393349
IRC13	-1.217591435
BRE2	-0.736965594
PLP1	-0.074000581
ECI1	1.063502942
SYG1	
SPG3	0.50589093
ETP1	0.807354922
PRE9	0.526068812
GLG1	
PML1	-0.089267338
YHM2	-0.535331733
ATC1	-3.836501268
NRP1	-3.184424571
SLZ1	0.704871964
MTC4	0.516015147
COX15	1.744161096
RPL20A	-2.943416472
PSE1	-2
DFR1	-1.029146346
RIB5	2.147306699
MAG1	1.250961574
ROM1	0.35614381
LCB4	0.176322773
PRM8	1.077242999
PSP1	-1.689659879
PRS3	-2
TIF1	-1.089267338
LSB1	0.925999419
COQ8	-1.217591435
LSM8	0.189033824
CYR1	0.014355293
UPS3	-1.556393349
CAR1	3.148934105
ENV11	-0.029146346
WHI3	-0.168122759
ERV14	0.014355293
NNT1	0
ZRC1	-1.251538767
NEO1	0.275007047
CTK2	0.722466024
ZPS1	0.367371066
NIP1	-1.785875195
PEX25	-0.59946207
HES1	0.757023247
MEU1	-1.888968688
PRB1	2.3950628
CTS1	0.739848103
SFA1	-0.736965594
GMC1	2.23878686
HPF1	
POM34	-1.152003093
RPL21A	-3.184424571
UGX2	2.994579724
POP4	-0.59946207
TPO2	0.757023247
DDI1	0.773996325
DOT1	-0.535331733
MDE1	-0.736965594
DFG10	0.925999419
YRM1	0.214124805
SHG1	0.799087306
CIN8	
UBP5	0.855989697
APT2	0.070389328
UPF3	-0.64385619
SLT2	2.513490746
OLE1	0.263034406
GIN4	
OTU2	-1.473931188
RIM2	-0.621488377
GCR2	-1.089267338
SDS23	0.22650853
MSH2	0.250961574
BNA1	0.799087306
DCS2	2.480265122
CCT8	-0.268816758
NAT3	-0.217591435
HXT11	0.650764559
MED8	-0.64385619
ABP140	-0.104697379
PSR2	0.464668267
MEC3	-0.736965594
FTR1	-0.666576266
RRM3	-0.234465254
GNP1	-1.395928676
YLF2	-0.76121314
GEP7	0.411426246
CTL1	0.650764559
NPR2	-0.454031631
PAU5	
SPO21	0.871843649
MED4	-0.49410907
BEM3	-0.152003093
CAN1	0.084064265
CCT6	-0.286304185
SSN2	0.411426246
SMD1	-0.120294234
ALE1	-0.556393349
ENB1	0.028569152
TOM70	-0.473931188
FAA4	-1.395928676
RPS23B	-2
AIM4	2.482848283
PRP38	0.028569152
AIM9	0.263034406
GUF1	0.815575429
LSM5	-0.59946207
RKR1	
YPQ1	-0.304006187
MNN9	-0.736965594
ERC1	-0.713118852
SPN1	-0.152003093
RPS20	-2.321928095
MSI1	-0.621488377
AVT2	8.353146825
SLY1	-0.200912694
SCC4	-0.058893689
RAD6	0.250961574
DUR3	5.258518925
GAT1	2.358958826
CLB4	-0.058893689
HOS3	0.084064265
MRPL25	0.137503524
SER3	0.475084883
RGM1	-0.395928676
FRS2	-1.029146346
MRPL38	0.23878686
TRM10	-0.836501268
FOB1	-1.120294234
HEM15	1.111031312
ATG38	1.201633861
IDI1	-0.200912694
PGI1	0.422233001
UTP7	-1.556393349
RFC4	-0.415037499
MPC54	0.411426246
PIH1	0.111031312
ALT2	-0.971430848
PKP2	3.63343121
ACO2	-1.152003093
ARL3	-0.13606155
MSS18	1.570462931
PEX8	0.5360529
SSO2	0.189033824
SIT1	-0.089267338
SPT15	-0.810966176
NNK1	0.757023247
TUB4	
NMA111	-0.713118852
GET2	0.895302621
PEA2	-0.395928676
HMI1	0.150559677
GAC1	-1.120294234
SAP155	0.839959587
BUD27	-1.556393349
OAZ1	1.280956314
CTF4	
MRP51	0.713695815
PAC10	-0.971430848
ARO10	4.853995647
ERJ5	0.5360529
HPA3	1.887525271
ECM21	1.021479727
RPL34A	-2.836501268
EPL1	
ECM11	
EBP2	
KTR6	0.799087306
IRC2	-0.862496476
NEL1	
CRR1	-0.358453971
DBP1	
TAF5	-0.377069649
ECM25	0.124328135
NAF1	-0.785875195
RPS17B	-2.836501268
COQ3	0.815575429
SYC1	0.23878686
PDS1	0.704871964
ADD37	1.389566812
APM2	0.35614381
MED1	-0.304006187
ESBP6	2.160274831
GEX1	0.613531653
YRA1	-1.152003093
BST1	0.275007047
RMR1	
PRP9	
SNU114	-0.971430848
BRL1	-0.043943348
QCR10	1.422233001
CRC1	1.195347598
WRS1	-1.184424571
TPO5	0.201633861
HFM1	1.748461233
KEG1	0.389566812
RTP1	-0.943416472
SFT2	-0.434402824
LEE1	1.937344392
RRP9	-1.59946207
FRE1	-0.473931188
KTR4	0.687060688
RPP2B	-2.184424571
CBP6	0.389566812
IRC6	0.454175893
RTG3	0.790772038
DBP10	-1.689659879
ADA2	-0.184424571
LGE1	0.475084883
PUT2	1.14404637
MEP3	0.773996325
CDC123	
PRP21	0.604071324
SPC98	-0.074000581
NKP1	0.516015147
KIN82	1.378511623
HXT13	
UTP6	-3.058893689
RTG2	0.739848103
HSC82	-0.810966176
AML1	-0.217591435
STE2	1.438292852
NOT5	0.286881148
RCY1	
MSH3	-0.217591435
RAS1	-1.217591435
ILV1	0.485426827
GRS1	-1.058893689
DUG1	1.454175893
SEA4	-0.120294234
GYP8	0.632268215
LTP1	0.59454855
ZRT3	0.855989697
LCL1	-0.152003093
RRF1	0.014355293
LOA1	0.495695163
NOP2	-4.058893689
CPR6	0.333423734
FAR11	0.59454855
ATO3	-2
TPI1	0.250961574
LST4	-0.251538767
SLM3	0.286881148
ERP1	
MSC7	-0.836501268
MRPL1	0.163498732
GCD10	-3.184424571
SWC4	0.555816155
STM1	-1.358453971
AIM10	1.344828497
MRPL36	0.613531653
MRPS17	0.097610797
PKC1	-0.713118852
YTA7	-0.577766999
CAF16	1.704871964
TKL1	0.443606651
GPB1	0.111031312
PCD1	-1.514573173
HXK2	-0.59946207
SUR1	0
OST2	-0.454031631
TEP1	-0.713118852
DOT6	0.485426827
CDC39	
DET1	-0.200912694
TMA64	-0.058893689
TAT2	-0.395928676
ERD2	0.23878686
EFT2	-0.888968688
TFC1	0.59454855
CNN1	-0.089267338
SRO77	-0.454031631
SLH1	
CAK1	0.028569152
OPY2	
NDD1	
FZF1	0.137503524
PDR12	-1.358453971
RPB4	0.111031312
MTQ1	-0.621488377
COA4	3.201633861
DIS3	-1.058893689
CUL3	0.286881148
NRK1	1.469885976
PTC2	-0.104697379
CDC50	-0.13606155
DBF4	-0.120294234
STE3	-0.200912694
GPR1	
YDJ1	-1.943416472
YAK1	1.070389328
GCV2	2.927896454
LAA1	
HFD1	1.411426246
OCA4	-0.64385619
PIN2	0.555816155
MUS81	1.263034406
BNA6	
MIX23	0.298658316
ACS2	0.250961574
ZRT1	0.475084883
APC4	0.23878686
TSR4	-0.915935735
PEX31	-0.120294234
CDC55	-0.473931188
COY1	0.201633861
PUS9	-0.089267338
PRE7	0.111031312
IRC9	0.321928095
TFG2	-0.074000581
NUD1	0.333423734
NUC1	-1.943416472
GRX5	0.887525271
HMRA2	0.176322773
MSC3	1.176322773
FUI1	-1.556393349
PTC4	0.454175893
RNH203	0.070389328
ADH4	-0.415037499
VBA4	-0.395928676
AQR1	-1.152003093
TAF1	-0.217591435
CDC34	0.22650853
MNT2	0.084064265
BSC1	-1.286304185
MPH3	-0.120294234
RMD8	0.189033824
TIR1	-0.200912694
ALD4	
MED11	0.464668267
GLO4	1.350497247
IFM1	-0.321928095
ORC2	-1.120294234
VAM3	-0.862496476
COX13	1.021479727
RVS167	1.124328135
TPS1	
GDH1	-0.76121314
ASP3-1	2.952333566
TIM17	0.713695815
SUN4	-0.184424571
PRP18	
CBP1	-0.454031631
ECM13	-0.395928676
COS5	0.632268215
YMR31	1.201633861
ICY2	2.63691458
PRE1	-0.915935735
GIT1	0.298658316
HSL1	0.028569152
VNX1	0.070389328
TRM7	-0.514573173
RGS2	-1.120294234
IME4	0.344828497
SAC7	-0.058893689
VMA2	0.367371066
RTT102	-0.234465254
PST1	3.028569152
SUM1	-0.454031631
VEL1	-0.184424571
RER1	-0.286304185
RPL9B	-2.736965594
KRE1	0
RCF1	0.555816155
ECT1	0.344828497
FOL3	0.070389328
VIP1	-0.104697379
RNH70	0.111031312
PRM7	-0.454031631
FKH2	-0.810966176
XDJ1	0.815575429
STF2	2.14404637
PRP22	-0.217591435
MRL1	
CUE5	1.049630768
LAG2	0.948600847
LEU9	-0.76121314
COR1	0.5360529
ATG14	0.555816155
ASP3-2	3.301587647
YPS5	2.260025656
SFH5	-0.358453971
MIM1	0.516015147
APE1	4.653060017
NDC1	-0.454031631
CTR3	-0.577766999
HOS2	0.298658316
CAB4	0.454175893
SCP160	-1.184424571
PET18	0.028569152
RPL16B	-2.64385619
GEP5	0.214124805
SEC9	0.378511623
YAH1	0.042644337
RAD52	-0.836501268
HEM14	1.070389328
TFB1	0.163498732
ATF1	-0.577766999
WHI2	0.250961574
LEM3	-0.862496476
INP53	-0.13606155
OPY1	-0.234465254
YOS9	1.201633861
ASP3-3	3.629939409
IDS2	0.86393845
MDM38	0.124328135
GFA1	1.604071324
MGR3	0.298658316
BER1	-0.200912694
CIT3	0.871843649
TGL2	1.650764559
ARP4	0.176322773
PSY4	-0.074000581
HSP30	
SUL2	2.666756592
VIK1	
FAA2	0.545968369
SSF2	-1.434402824
AMF1	
ASC1	-2.321928095
IRC23	1.10433666
EDE1	-0.915935735
NYV1	0.895302621
MDM10	0.422233001
GCN1	-0.64385619
CWC22	0.659924558
PIB1	0.454175893
PGS1	-0.184424571
YAP7	-0.01449957
FIG4	0.687060688
SEG2	
HPM1	-1.556393349
INA1	-2.736965594
PDH1	3.801158656
SCW4	-0.058893689
UBC5	2.321928095
NMD3	-4.058893689
PTP1	2.671293372
BIM1	-0.043943348
SPC24	-0.304006187
PUN1	1.257010618
TOM6	-0.217591435
ECM2	0.070389328
GIS3	0.163498732
DSD1	1.339137385
BRE4	0.604071324
AFG3	0.5360529
IML2	1.500802053
RAD34	
LTO1	0.918386234
NFU1	1.097610797
DBP5	-0.514573173
ELP2	-2.736965594
LDB16	-0.556393349
RPA34	-3.473931188
PFA3	-0.689659879
COX5B	2.599317794
HFI1	-0.49410907
SRC1	0.275007047
RRT1	0.137503524
ATG7	2.839959587
SWC3	
AMD1	-0.304006187
SHH3	0.263034406
AIM45	1.189033824
AAT1	-0.200912694
NRG2	0.214124805
IOC2	-0.217591435
MDS3	-0.268816758
TAX4	
SPC25	0.722466024
IPK1	2.070389328
STD1	-0.666576266
DAS1	1.448900951
FAR3	1.263034406
HOS4	1.150559677
BBP1	-0.200912694
RAX1	0.333423734
ALY2	0.748461233
SLM5	1.422233001
MOH1	0.622930351
NAB3	-0.556393349
SPC97	0.028569152
CYS3	-0.76121314
STB2	2.577730931
OST4	-0.184424571
CLN2	0.163498732
VPS24	0.214124805
ORC5	-0.64385619
HAL1	3.527320608
EGT2	-0.785875195
TIP1	0.056583528
CSE2	0.286881148
YIP4	1.176322773
RAT1	-0.152003093
PCT1	0.201633861
MDJ2	0.687060688
ORM2	-0.074000581
PRP2	-0.074000581
SDP1	1.726831217
CGI121	0.275007047
ASI1	0.286881148
KIN2	-0.104697379
STP22	1.480265122
DEP1	0.176322773
NIT3	0.97819563
MFG1	1.257010618
POR2	-0.152003093
ISC1	0.632268215
SPC42	
OMS1	
POL2	0.014355293
ICL2	0.722466024
SLD2	
BAP2	-1.689659879
HRT3	1.835924074
SYN8	
GYP7	1.438292852
EXO70	0.056583528
YIF1	0.176322773
PRP43	-4.058893689
RSB1	0.59454855
PEX6	0.298658316
STV1	0.411426246
VPS36	-0.736965594
CPA1	2.516015147
NPP1	0.485426827
PRM9	0.40053793
PRM3	-1.058893689
PAM1	0.622930351
ENO2	0.042644337
ILV6	0.389566812
BUB2	0.613531653
THI21	0.056583528
YMD8	-0.029146346
UTP30	-1.888968688
NUP159	-0.888968688
PHD1	-0.621488377
HIM1	-0.713118852
CDC73	-0.029146346
YCH1	0.807354922
REC8	
HAP4	-0.434402824
TAT1	-2.473931188
URK1	-1.029146346
CHA4	0.214124805
NTG1	0.992768431
YPD1	0.321928095
PDR17	0.50589093
GPG1	2.503348735
PHO91	0.432959407
DNM1	0.839959587
ISW2	-0.915935735
TRL1	-0.168122759
RHB1	-0.340075442
BTT1	
CTR2	0.948600847
AAC1	1.014355293
APM1	0.344828497
KTR2	-0.152003093
MCM21	
ADE3	1.580145484
ICT1	0.344828497
MET32	
YFT2	0.956056652
IST1	-0.556393349
NAB2	-0.535331733
PCL7	1.731183242
RSA1	-1.689659879
BUD8	-0.395928676
TMA20	-1.089267338
GLC8	0.956056652
HIS5	3.116031993
RTT109	-0.217591435
HAA1	0.214124805
RRG7	-0.104697379
UGA3	2.873813198
FEN2	0.275007047
MST28	
MMF1	1.13093087
FMO1	1.970853654
TPD3	0.176322773
TAL1	0.443606651
PHO13	0.432959407
TFA2	0.422233001
PRM5	2.207892852
YEH2	-0.514573173
PRI2	-0.089267338
TDA10	0.111031312
MCH5	0.23878686
GLT1	
LAS1	-0.577766999
ARG3	2.788685711
DCW1	
DDC1	0.422233001
SFI1	
RGD1	0.367371066
SUT2	-0.64385619
RPL34B	-2.943416472
CHL4	1.361768359
PSK1	0.782408565
ILV5	-1.514573173
AIM6	1.361768359
CBF2	
RPS2	-2.473931188
MVB12	-0.043943348
SLY41	-0.104697379
SMM1	-1.434402824
ELP6	-1.089267338
RMD5	-0.089267338
LDS1	0.286881148
GUD1	0.963474124
SIP4	
MON1	1.09085343
APL5	0.485426827
CIR1	1.244887059
NOP9	-0.415037499
FET3	-0.888968688
ACC1	-0.736965594
TGL3	
RHO3	
IRC25	0.432959407
MET7	0.310340121
ORC3	
TAE1	-0.377069649
YAT1	0.713695815
STB5	1.028569152
VPS62	0.86393845
OAF3	0.669026766
RPI1	0.111031312
SSP2	0.263034406
SDO1	-1
PIK1	0.23878686
ANR2	-0.089267338
SPO75	
SNU66	-0.058893689
RVB1	-0.915935735
CTA1	
ADY3	2.711494907
PAM17	0.565597176
ELM1	0.687060688
GPP1	-1.089267338
OXR1	0.713695815
RPC17	
SMT3	-1.029146346
SEN15	
ATG33	3.184280294
ARR2	0.669026766
MIC12	0.014355293
GCD7	-0.621488377
PAR32	0.575312331
OYE2	0
FUN30	-0.377069649
BTN2	-1.184424571
PUS7	-0.888968688
IZH3	1.232660757
GEP4	0.310340121
MET13	2.381283373
LYP1	-0.043943348
SER2	-0.415037499
TIM23	
PRE5	0.028569152
DLD1	-0.074000581
RKM4	0.097610797
CCP1	1.286881148
CSE4	0.189033824
TRX2	
VTC4	-0.736965594
SDH7	1.09085343
RSC2	-0.200912694
MMM1	1.269033146
HST4	0.90303827
SEC72	0.333423734
YBP2	0.163498732
EMI1	2.150559677
PAU20	0.333423734
SKN1	0.189033824
UBR2	-0.59946207
BIG1	0.422233001
SCS3	0.604071324
BSC4	
NUP42	-0.434402824
RCF2	-0.535331733
AIR2	-0.64385619
ARR3	1.389566812
HSP78	2.430285273
DUO1	
SHM1	-0.785875195
SOH1	-0.666576266
RPL7B	-2.836501268
MAD3	0.555816155
ESA1	-0.535331733
YPT10	-0.666576266
GSP1	-0.535331733
GPT2	1.163498732
THI4	
DGA1	0.86393845
GAD1	3.217230716
ARE2	1.22650853
DIA1	0.526068812
YAP6	1.480265122
BET3	0.084064265
SPI1	0.411426246
CWC23	
GEA1	-0.286304185
VHR1	
GRX2	1.310340121
ADE13	0.344828497
KIC1	0.871843649
SNF7	0.918386234
DRS1	-5.058893689
UBP3	-0.184424571
RGI2	-0.029146346
DCI1	-0.168122759
PYC1	1.344828497
OPI1	-0.377069649
ENP2	-3.184424571
ENV9	
SED5	-0.01449957
GTO3	0.201633861
COX17	0.40053793
CCT3	-0.358453971
MSS116	-0.454031631
VPS30	0.310340121
TSC10	-0.59946207
ECL1	-0.415037499
RSM23	0.344828497
ADH6	0.389566812
MEI5	
SBE22	-0.621488377
SLM6	-2.943416472
ATP14	0.201633861
TWF1	1.275007047
PUS2	-0.377069649
AIM17	2.981852653
MET1	0.526068812
AAT2	1.565597176
CPR7	-0.152003093
SLX9	-2.184424571
MRH4	
NAT2	-0.184424571
RAV1	
LAS17	-0.321928095
SLF1	-0.556393349
BDS1	0.411426246
FET4	-0.971430848
TFB2	-0.836501268
GRE3	1.22650853
SRL1	-0.286304185
REF2	-0.415037499
PET122	0.40053793
DLD2	0.298658316
RPS30B	-2.64385619
